,freq,siec,plant_tec,unit,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
55,A,Pure biodiesels,CAP_PRD,THS_TY,ES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,120.0,179.0,255.0,403.0,946.0,1681.0,4272.0,4286.0,4341.0,3762.0,4243.0,4237.0,4237.0,4237.0,4237.0,4237.0,4237.0,4237.0,4237.0,4237.0
56,A,Pure biodiesels,CAP_PRD,THS_TY,EU27_2020,28.0,30.0,36.5,41.55,99.5,133.0,165.5,212.5,226.5,271.5,478.55,693.199,810.43,1746.825,2030.0,3173.357,4837.372,10873.51,15343.478,19103.177,20815.97,21161.491,20860.707,21448.234,21581.189,21884.531,20717.596,21128.969,21809.254,21812.254,21870.931,22845.013,21698.02
57,A,Pure biodiesels,CAP_PRD,THS_TY,FI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.0,380.0,380.0,380.0,380.0,380.0,380.0,380.0,480.0,480.0,490.0,500.0,500.0,500.0,600.0,600.0
58,A,Pure biodiesels,CAP_PRD,THS_TY,FR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,375.0,395.0,612.862,623.046,1028.255,2094.955,2254.955,2759.955,2759.955,2759.955,2759.955,2759.955,2759.955,2305.0,2305.0,2305.0,2305.0,2305.0,2305.0,2305.0
59,A,Pure biodiesels,CAP_PRD,THS_TY,GE,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.3
60,A,Pure biodiesels,CAP_PRD,THS_TY,HR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,61.0,61.0,64.0,64.0,69.0,69.0,63.838,63.838,41.0,41.0,41.0,41.0,41.0,41.0,41.0
61,A,Pure biodiesels,CAP_PRD,THS_TY,HU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,150.0,189.0,189.0,189.0,150.0,150.0,150.0,150.0,157.0,172.0,180.0,180.0,180.0,180.0,220.0
62,A,Pure biodiesels,CAP_PRD,THS_TY,IE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.37,34.32,29.92,29.92,29.92,29.92,29.92,53.2,53.2,53.2,79.6,141.2,162.8
63,A,Pure biodiesels,CAP_PRD,THS_TY,IS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.067,0.073,0.073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
64,A,Pure biodiesels,CAP_PRD,THS_TY,IT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1916.89,2257.0,2212.194,2212.194,2212.194,2212.194,2212.194,2212.194,2212.194,2212.194,2212.194,2212.194,2212.194,2212.194,2212.194,2212.194
65,A,Pure biodiesels,CAP_PRD,THS_TY,LI,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,A,Pure biodiesels,CAP_PRD,THS_TY,LT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,30.0,146.7,150.0,150.0,150.0,150.0,140.0,140.0,140.0,140.0,140.0,140.0,156.0,195.0,195.0,195.0,195.0
67,A,Pure biodiesels,CAP_PRD,THS_TY,LU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,A,Pure biodiesels,CAP_PRD,THS_TY,LV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,13.5,13.5,144.6,175.321,210.111,173.0,173.0,173.0,173.0,173.0,173.0,173.0,173.0,173.0,173.0,173.0,173.0
69,A,Pure biodiesels,CAP_PRD,THS_TY,MD,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,A,Pure biodiesels,CAP_PRD,THS_TY,ME,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,A,Pure biodiesels,CAP_PRD,THS_TY,MK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
72,A,Pure biodiesels,CAP_PRD,THS_TY,MT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.107,1.107,1.4,1.4,1.4,1.4,1.4,1.4,0.0,0.0,0.0,0.0,0.0
73,A,Pure biodiesels,CAP_PRD,THS_TY,NL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,189.0,520.0,1323.0,1306.0,2030.0,2051.0,2014.0,2196.0,2176.0,1927.0,2058.0,2082.0,2124.0,2141.0,2269.0,2165.0
74,A,Pure biodiesels,CAP_PRD,THS_TY,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0
75,A,Pure biodiesels,CAP_PRD,THS_TY,PL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,428.4,620.1,565.2,755.1,755.1,922.5,798.3,876.6,1157.4,1035.9,1188.918,1368.603,1368.603,1576.881,1869.363,1861.218
76,A,Pure biodiesels,CAP_PRD,THS_TY,PT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,117.5,461.74,580.342,630.342,630.342,682.342,721.308,721.308,721.308,721.308,721.308,721.308,721.308,721.308,721.308,721.308,721.308
77,A,Pure biodiesels,CAP_PRD,THS_TY,RO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206.5,206.5,206.5,200.0,200.0,200.0,200.0,210.0,300.0,300.0,300.0
78,A,Pure biodiesels,CAP_PRD,THS_TY,RS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,A,Pure biodiesels,CAP_PRD,THS_TY,SE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.295,12.326,20.785,115.701,118.325,130.611,117.347,285.804,285.804,261.052,310.012,132.45,132.0,450.0,450.0,450.0,450.0,450.0
80,A,Pure biodiesels,CAP_PRD,THS_TY,SI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,A,Pure biodiesels,CAP_PRD,THS_TY,SK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.649,62.0,30.75,30.0,59.7,76.5,101.2,179.7,176.0,143.0,168.0,120.0,142.0,130.0,177.0,125.0,125.0,125.0,125.0,135.0,120.0,120.0
82,A,Pure biodiesels,CAP_PRD,THS_TY,TR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.112,1071.363,1065.924,918.199,812.2,561.217,457.476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,A,Pure biodiesels,CAP_PRD,THS_TY,UA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
84,A,Pure biodiesels,CAP_PRD,THS_TY,UK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,532.383,700.458,718.057,676.4,507.3,504.63,516.2,528.838,438.569,290.695,481.167,608.669,579.752,613.43,,,
85,A,Pure biodiesels,CAP_PRD,THS_TY,XK,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,A,Pure bio jet kerosene,CAP_PRD,THS_TY,AL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,A,Pure bio jet kerosene,CAP_PRD,THS_TY,AT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,A,Pure bio jet kerosene,CAP_PRD,THS_TY,BA,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,A,Pure bio jet kerosene,CAP_PRD,THS_TY,BE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,A,Pure bio jet kerosene,CAP_PRD,THS_TY,BG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,A,Pure bio jet kerosene,CAP_PRD,THS_TY,CY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,A,Pure bio jet kerosene,CAP_PRD,THS_TY,CZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,A,Pure bio jet kerosene,CAP_PRD,THS_TY,DE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,A,Pure bio jet kerosene,CAP_PRD,THS_TY,DK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,A,Pure bio jet kerosene,CAP_PRD,THS_TY,EA20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,7.0,24.0,44.0,89.0,200.0
96,A,Pure bio jet kerosene,CAP_PRD,THS_TY,EE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,A,Pure bio jet kerosene,CAP_PRD,THS_TY,EL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,A,Pure bio jet kerosene,CAP_PRD,THS_TY,ES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,A,Pure bio jet kerosene,CAP_PRD,THS_TY,EU27_2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,7.0,24.0,44.0,89.0,200.0
100,A,Pure bio jet kerosene,CAP_PRD,THS_TY,FI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,7.0,24.0,44.0,89.0,200.0
101,A,Pure bio jet kerosene,CAP_PRD,THS_TY,FR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,A,Pure bio jet kerosene,CAP_PRD,THS_TY,GE,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,A,Pure bio jet kerosene,CAP_PRD,THS_TY,HR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,A,Pure bio jet kerosene,CAP_PRD,THS_TY,HU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,A,Pure bio jet kerosene,CAP_PRD,THS_TY,IE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,A,Pure bio jet kerosene,CAP_PRD,THS_TY,IS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
107,A,Pure bio jet kerosene,CAP_PRD,THS_TY,IT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,A,Pure bio jet kerosene,CAP_PRD,THS_TY,LI,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,A,Pure bio jet kerosene,CAP_PRD,THS_TY,LT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,A,Pure bio jet kerosene,CAP_PRD,THS_TY,LU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,A,Pure bio jet kerosene,CAP_PRD,THS_TY,LV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,A,Pure bio jet kerosene,CAP_PRD,THS_TY,MD,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
